temperature,humidity,soil_moisture,final_label
5.0609,19.6880,0.3752,3
5.1881,19.4147,0.0000,3
5.0256,19.9051,5.2548,3
4.8294,20.2638,5.6521,3
5.0132,20.3382,10.7601,3
4.8281,20.1106,10.0469,3
5.1757,19.9850,15.6970,3
4.8638,20.3668,15.7122,3
4.9143,19.8944,21.3188,3
5.0731,20.1238,21.2680,3
5.4283,19.8781,26.0597,2
4.8372,20.1848,26.8803,2
4.9772,19.7480,31.1667,2
5.1301,20.2230,31.8505,2
4.8669,20.0696,36.9004,2
5.0437,20.2614,36.9539,2
5.1358,20.0203,42.2498,2
5.1263,19.5629,41.9454,2
4.9059,19.8083,47.2309,3
5.2990,19.7403,47.8526,3
4.6634,19.8995,52.7130,3
5.1172,20.2134,53.0283,3
4.9303,19.8613,58.3237,3
4.9617,19.6173,57.3281,3
4.8161,20.1491,63.2291,3
5.1381,19.8718,63.2372,3
5.1251,19.9072,68.6494,3
4.8676,19.8911,68.2302,3
4.7608,20.1461,73.4495,3
5.0025,20.1442,73.9075,3
5.1331,19.9705,78.7357,3
4.9841,19.4938,78.2238,3
4.7355,19.7008,84.4104,3
4.8189,19.8866,84.8601,3
4.9287,20.2213,89.0069,3
4.9589,19.7150,89.3042,3
5.1681,19.4818,94.9541,3
5.0475,19.8218,94.0138,3
5.0144,19.8412,100.0000,3
5.0044,20.4805,99.8803,3
4.7953,24.2643,0.1100,3
5.2718,24.4611,0.1784,3
5.2927,23.8539,4.9433,3
4.8147,24.0936,4.5748,3
5.1270,24.1439,9.7909,3
4.7969,24.3046,10.9454,3
5.3993,25.0847,15.9967,3
4.8021,23.5709,15.9233,3
4.8374,24.0859,20.7466,3
4.9718,24.5303,21.1312,3
4.9683,23.8998,25.4784,3
4.9027,24.1944,27.1998,2
5.0261,24.5053,31.3293,2
4.7630,23.9210,31.2163,2
5.4257,23.9641,37.2613,2
4.8194,24.4900,37.0346,2
4.9687,24.1983,41.7779,2
5.0892,24.0740,41.4925,2
4.7444,24.2623,48.1580,3
5.0320,24.1749,47.5113,3
5.2612,24.2763,52.4261,3
5.2213,24.3392,53.3995,3
5.0366,23.8432,57.2107,3
